X,Y,OBJECTID,FEATURE_ID,ESITE,CODE,NAME,ABB_NAME,ADDRESS,ZIPCODE
-122.343744795584,47.6205099647702,1288,1874,0000000,360,Seattle Inn,Seattle Inn,225 Aurora Ave N,00000
-122.288644992754,47.5901294867673,1289,6006946,924578,600,East Portal Viewpoint,East Portal Viewpoint,1400 Lake Washington Blvd S,98144
-122.334437802233,47.6018716293405,1290,1792,0000000,690,Pioneer Square,Pioneer Square,1st Ave & Yesler Way,98104
-122.235755880773,47.5810716779307,1291,550,0000000,600,Mercerdale Playfield,Mercerdale Playfield,SE 32nd St & 78th Ave SE,98040
-122.292013607787,47.5691344606233,1292,6007204,0000000,600,Lake People Park (Xacuabs),Lake People Park (Xacuabs),S Bradford St and 31st Ave S,98108
-122.323652334496,47.5207941470458,1293,6007214,0000000,600,South Park Meadow,South Park Meadow,9100 8th Ave S,98108
-122.293591187704,47.7057214248038,1294,1092,0000000,600,Meadowbrook Playfield,Meadowbrook Playfield,30th Ave NE & Ravenna Ave NE,00000
-122.318954364828,47.6164920382056,1295,1074,831112,600,Cal Anderson Park,Cal Anderson Park,E Pine St & 11th Av,98122
-122.298679464349,47.7200569891471,1296,1084,0000000,600,Davis Park,Davis Park,127th St & 27th Ave NE,98125
-122.295275057979,47.7188125165793,1297,6006967,0000000,600,Lake City Memorial Triangle,Lake City Memorial Triangle,31st Ave NE and Lake City Way,98125
-122.361449298226,47.6397975870488,1298,6007134,0000000,600,Queen Anne Boulevard,Queen Anne Boulevard,Encircles Queen Anne Hill,00000
-122.328030296852,47.4156746190228,1299,6005307,0000000,600,Water Tower Park,Water Tower Park,S 208th St and 5th Ave S,98198
-122.300085690752,47.3803173929534,1300,6007284,0000000,600,Salt Air Vista Park,Salt Air Vista Park,24615 26th Pl S,98032
-122.30204178891,47.3489396333623,1301,6006916,0000000,600,Heritage Woods Park,Heritage Woods Park,28200 24th Pl S,98003
-122.247272897932,47.4701094679074,1302,1270,0000000,600,Fort Dent Park,Fort Dent Park,Fort Dent Way,00000
